mesh,x,y,z
ADFL,0.043307384476065636,-2.6697314977645874,0.4125670790672302
ADFL,0.03140609245747328,-2.669731616973877,0.4125670790672302
ADFL,0.03545543737709522,-2.6669015288352966,0.41093048453330994
ADFL,0.03925803489983082,-2.666901469230652,0.41093048453330994
ADFL,0.03735673613846302,-2.6678672432899475,0.4093308746814728
ADFL,0.03735673613846302,-2.665935754776001,0.4125300943851471
ADFL,0.03545543551445007,-2.6603676676750183,0.3971242904663086
ADFL,0.03925803303718567,-2.6603676676750183,0.397124283015728
ADFL,0.03735673427581787,-2.6619499921798706,0.3963605836033821
ADFL,0.03735673427581787,-2.658785343170166,0.3978879898786545
ADFL,-0.02108391374349594,-2.753685772418976,0.5340516120195389
ADFR,-0.021634316071867943,-2.7536858320236206,0.5340516269207001
ADFR,-0.0800749696791172,-2.658785343170166,0.39788801968097687
ADFR,-0.0800749696791172,-2.6619502305984497,0.3963606208562851
ADFR,-0.0819762721657753,-2.660367786884308,0.397124320268631
ADFR,-0.0781736671924591,-2.660367786884308,0.397124320268631
ADFR,-0.0800749696791172,-2.665935754776001,0.4125301241874695
ADFR,-0.0800749696791172,-2.667867422103882,0.40933090448379517
ADFR,-0.0819762721657753,-2.6669015884399414,0.4109305143356323
ADFR,-0.0781736671924591,-2.6669015884399414,0.4109305143356323
ADFR,-0.07412432134151459,-2.6697316765785217,0.4125671088695526
ADFR,-0.08602561429142952,-2.669731616973877,0.4125671088695526
ADFR,-0.08007496781647205,-2.67181259393692,0.4069921672344208
ADFR,-0.08007496781647205,-2.6676506996154785,0.41814205050468445
ADFR,-0.08208560012280941,-2.698133945465088,0.42532093077898026
ADFR,-0.08208560012280941,-2.6989786624908447,0.4213900715112686
ADFR,-0.08412197232246399,-2.6985563039779663,0.42335550487041473
ADFR,-0.08004922792315483,-2.6985563039779663,0.42335549741983414
ADFR,-0.0739605650305748,-2.6884689331054688,0.41956107318401337
ADFR,-0.0861893780529499,-2.688468873500824,0.41956108063459396
ADFR,-0.08007497154176235,-2.6906070709228516,0.41383272409439087
ADFR,-0.08007497154176235,-2.686330735683441,0.42528942972421646
ADFR,-0.0800749659538269,-2.6756033301353455,0.4254327118396759
ADFR,-0.0800749659538269,-2.6825972199440002,0.4066954702138901
ADFR,-0.09007495641708374,-2.679100215435028,0.416064091026783
ADFR,-0.07007497549057007,-2.6791003346443176,0.416064091026783
ADFR,-0.028576819226145744,-2.727912127971649,0.36736181378364563
ADFR,-0.028642578050494194,-2.7309738397598267,0.36742769181728363
ADFR,-0.029888243414461613,-2.7294811606407166,0.36701615154743195
ADFR,-0.027331153862178326,-2.7294048070907593,0.3677733540534973
