genotype,date,recording_id,forward_run_speed_mm_s,reversal_rate_per_min,pirouette_rate_per_min
N2,20260202,N2##20260202,0.0792,1.3793,4.8276
N2,20260202,N2##20260202,0.1764,0.0000,0.0000
N2,20260202,N2##20260202,0.1579,4.4832,2.2416
N2,20260202,N2##20260202,0.1224,0.0000,0.0000
N2,20260202,N2##20260202,0.1614,4.8000,0.0000
N2,20260202,N2##20260202,0.1524,0.0000,0.0000
N2,20260202,N2##20260202,0.0834,0.0000,11.5068
N2,20260202,N2##20260202,0.1720,0.0000,0.0000
N2,20260202,N2##20260202,0.2115,0.0000,0.0000
N2,20260202,N2##20260202,0.1124,0.0000,0.0000
N2,20260202,N2##20260202,0.1354,0.0000,0.0000
N2,20260202,N2##20260202,0.1468,1.0033,1.5050
N2,20260202,N2##20260202,0.1789,0.0000,0.0000
N2,20260202,N2##20260202,0.1677,0.0000,0.0000
N2,20260202,N2##20260202,0.1891,0.0000,0.0000
N2,20260202,N2##20260202,0.1583,0.0000,3.9474
N2,20260202,N2##20260202,0.1958,3.5503,7.1006
N2,20260202,N2##20260202,0.2287,0.0000,0.0000
N2,20260202,N2##20260202,0.1309,0.0000,0.0000
N2,20260202,N2##20260202,0.0935,0.0000,2.5451
N2,20260202,N2##20260202,0.1005,0.0000,0.0000
N2,20260202,N2##20260202,0.1747,0.0000,0.0000
N2,20260202,N2##20260202,0.1796,2.2305,0.7435
N2,20260202,N2##20260202,0.1216,0.0000,1.3921
N2,20260202,N2##20260202,0.1574,0.0000,0.0000
N2,20260202,N2##20260202,0.0873,0.0000,0.0000
N2,20260202,N2##20260202,0.1379,0.0000,0.0000
N2,20260202,N2##20260202,0.1963,0.0000,0.7802
N2,20260202,N2##20260202,0.1739,0.0000,1.3333
N2,20260202,N2##20260202,0.1218,1.6997,0.8499
N2,20260202,N2##20260202,0.2149,0.0000,0.0000
N2,20260202,N2##20260202,0.1560,0.0000,0.0000
N2,20260202,N2##20260202,0.1793,0.0000,0.0000
N2,20260202,N2##20260202,0.2225,2.9221,1.9481
N2,20260202,N2##20260202,0.1576,10.1695,0.0000
N2,20260202,N2##20260202,0.1190,0.0000,0.0000
N2,20260202,N2##20260202,0.1852,0.0000,0.0000
N2,20260202,N2##20260202,0.1490,0.0000,3.6810
N2,20260202,N2##20260202,0.1574,0.0000,0.0000
N2,20260202,N2##20260202,0.1302,1.1385,0.0000
N2,20260202,N2##20260202,0.0808,1.5306,0.0000
N2,20260202,N2##20260202,0.2000,0.0000,0.0000
N2,20260202,N2##20260202,0.1761,3.0151,3.0151
N2,20260202,N2##20260202,0.1303,0.0000,0.0000
N2,20260202,N2##20260202,0.1009,2.4590,0.0000
N2,20260202,N2##20260202,0.1790,0.0000,1.7391
N2,20260202,N2##20260202,0.1782,0.0000,3.6810
N2,20260202,N2##20260202,0.1874,0.0000,0.0000
N2,20260202,N2##20260202,0.1017,0.0000,0.0000
N2,20260202,N2##20260202,0.1174,0.0000,0.0000
N2,20260202,N2##20260202,0.1351,0.0000,0.0000
N2,20260202,N2##20260202,0.1415,0.0000,2.7273
N2,20260202,N2##20260202,0.1533,0.0000,0.0000
N2,20260202,N2##20260202,0.1470,0.0000,0.0000
N2,20260202,N2##20260202,0.0706,0.0000,0.0000
N2,20260202,N2##20260202,0.1357,0.0000,0.0000
N2,20260202,N2##20260202,0.1752,0.0000,0.0000
N2,20260202,N2##20260202,0.1524,0.0000,0.0000
N2,20260203,N2##20260203,0.1657,0.0000,0.0000
N2,20260203,N2##20260203,0.0868,0.9662,5.7971
N2,20260203,N2##20260203,0.2289,0.0000,0.8186
N2,20260203,N2##20260203,0.2065,0.0000,0.0000
N2,20260203,N2##20260203,0.1876,0.0000,0.0000
N2,20260203,N2##20260203,0.1919,0.0000,0.0000
N2,20260203,N2##20260203,0.1856,4.6875,4.6875
N2,20260203,N2##20260203,0.1815,2.3226,1.5484
N2,20260203,N2##20260203,0.2089,1.1204,1.6807
N2,20260203,N2##20260203,0.1354,1.9934,2.9900
N2,20260203,N2##20260203,0.1869,0.0000,0.0000
N2,20260203,N2##20260203,0.1852,0.0000,0.0000
N2,20260203,N2##20260203,0.1424,0.0000,0.0000
N2,20260203,N2##20260203,0.2134,0.0000,0.0000
N2,20260203,N2##20260203,0.2203,0.0000,0.0000
N2,20260203,N2##20260203,0.2385,0.0000,0.0000
N2,20260203,N2##20260203,0.1788,0.0000,0.0000
N2,20260203,N2##20260203,0.1838,5.5046,2.7523
N2,20260203,N2##20260203,0.1840,0.0000,0.0000
N2,20260203,N2##20260203,0.2290,0.0000,0.7203
N2,20260203,N2##20260203,0.2394,0.0000,0.0000
N2,20260203,N2##20260203,0.1804,0.0000,0.0000
N2,20260203,N2##20260203,0.2194,0.0000,0.0000
N2,20260203,N2##20260203,0.1900,0.0000,0.0000
N2,20260203,N2##20260203,0.2440,0.0000,0.0000
N2,20260203,N2##20260203,0.1501,0.0000,0.0000
N2,20260203,N2##20260203,0.1981,0.0000,0.0000
N2,20260203,N2##20260203,0.2235,0.0000,0.0000
N2,20260203,N2##20260203,0.1195,0.0000,0.0000
N2,20260203,N2##20260203,0.1638,0.0000,0.0000
N2,20260203,N2##20260203,0.2484,0.0000,0.0000
N2,20260203,N2##20260203,0.2125,0.0000,0.0000
N2,20260203,N2##20260203,0.1833,0.3356,0.3356
N2,20260203,N2##20260203,0.2060,0.0000,0.0000
N2,20260203,N2##20260203,0.1725,1.4888,1.4888
N2,20260203,N2##20260203,0.2039,0.0000,0.0000
N2,20260203,N2##20260203,0.1610,1.2552,1.2552
N2,20260203,N2##20260203,0.1587,3.8544,5.1392
N2,20260203,N2##20260203,0.1251,2.8526,1.9017
N2,20260203,N2##20260203,0.1962,2.4845,3.7267
N2,20260203,N2##20260203,0.2244,2.1871,2.1871
N2,20260203,N2##20260203,0.1452,0.0000,0.0000
N2,20260203,N2##20260203,0.1852,1.2397,0.0000
N2,20260203,N2##20260203,0.1619,0.0000,0.0000
N2,20260203,N2##20260203,0.2228,0.0000,0.0000
N2,20260203,N2##20260203,0.1839,0.0000,0.0000
N2,20260203,N2##20260203,0.1730,0.0000,0.0000
N2,20260203,N2##20260203,0.1798,0.0000,1.1511
N2,20260203,N2##20260203,0.2085,0.0000,0.0000
N2,20260203,N2##20260203,0.1922,0.0000,0.0000
N2,20260203,N2##20260203,0.1991,5.7692,0.0000
N2,20260203,N2##20260203,0.2361,2.3622,1.1811
N2,20260203,N2##20260203,0.1942,0.0000,0.0000
N2,20260203,N2##20260203,0.1595,2.2222,2.2222
N2,20260203,N2##20260203,0.2134,15.3846,0.0000
N2,20260203,N2##20260203,0.2067,0.0000,0.0000
N2,20260203,N2##20260203,0.1627,0.6861,1.3722
N2,20260203,N2##20260203,0.2131,0.0000,0.0000
N2,20260203,N2##20260203,0.1337,6.0000,6.0000
N2,20260203,N2##20260203,0.2264,0.0000,0.0000
N2,20260203,N2##20260203,0.1186,0.0000,0.0000
N2,20260203,N2##20260203,0.1792,1.5544,0.0000
N2,20260203,N2##20260203,0.1663,4.1379,8.2759
N2,20260203,N2##20260203,0.1315,0.0000,0.0000
N2,20260203,N2##20260203,0.1438,1.0976,0.3659
N2,20260203,N2##20260203,0.2696,8.6957,8.6957
N2,20260203,N2##20260203,0.1936,0.0000,0.0000
